bulan,tahun,indeks_waktu,qty_apsdk,qty_ast,qty_eg,qty_gc,qty_jnk,qty_kp,qty_ka,qty_os,qty_sa
1,2020,0,592,165,91,50,5,2,65,17,120
2,2020,1,572,618,213,51,11,32,64,5,36
3,2020,2,312,486,30,89,2,110,16,9,27
4,2020,3,161,199,30,79,27,104,8,16,36
5,2020,4,347,493,60,20,2,64,63,8,35
6,2020,5,110,164,266,48,8,56,82,7,4
7,2020,6,159,264,175,38,27,50,164,5,61
8,2020,7,231,149,19,41,13,51,140,10,82
9,2020,8,311,230,17,82,6,85,201,9,52
10,2020,9,70,16,14,27,11,26,106,3,24
11,2020,10,386,169,31,13,23,23,31,11,12
12,2020,11,82,88,50,12,4,12,77,3,6
1,2021,12,212,87,50,34,29,31,95,11,44
2,2021,13,187,429,39,9,3,50,82,3,29
3,2021,14,598,339,30,4,32,28,37,3,19
4,2021,15,466,160,40,39,14,38,63,12,17
5,2021,16,123,44,60,38,12,37,61,6,52
6,2021,17,291,266,161,138,27,132,34,7,156
7,2021,18,364,372,288,35,63,42,41,3,45
8,2021,19,76,268,856,2,61,6,50,2,8
9,2021,20,451,964,248,72,15,18,17,3,78
10,2021,21,272,498,273,61,29,131,60,25,17
11,2021,22,439,193,125,11,9,28,52,2,6
12,2021,23,40,44,319,53,3,29,13,2,31
